"h3_address","year","yield"
"85260003fffffff",2010,144.1
"85260003fffffff",2011,138.4
"85260003fffffff",2012,20.9
"85260003fffffff",2013,162.7
"85260003fffffff",2014,167.7
"85260003fffffff",2015,174.2
"85260003fffffff",2016,149.2
"85260003fffffff",2017,155.8
"85260003fffffff",2018,166.7
"85260003fffffff",2019,155.5
"85260003fffffff",2020,180.5
"85260003fffffff",2021,124.7
"85260003fffffff",2022,67.9
"85260003fffffff",2023,172.8
"85260003fffffff",2024,160.5
"85260007fffffff",2010,140.2
"85260007fffffff",2011,142.4
"85260007fffffff",2012,48.8
"85260007fffffff",2013,168.3
"85260007fffffff",2014,173.3
"85260007fffffff",2015,183.6
"85260007fffffff",2016,171.3
"85260007fffffff",2017,181.5
"85260007fffffff",2018,168.2
"85260007fffffff",2019,170.5
"85260007fffffff",2020,175.1
"85260007fffffff",2021,142.8
"85260007fffffff",2022,90.3
"85260007fffffff",2023,158.3
"85260007fffffff",2024,171.2
"8526000bfffffff",2010,144.1
"8526000bfffffff",2011,138.4
"8526000bfffffff",2012,20.9
"8526000bfffffff",2013,162.7
"8526000bfffffff",2014,167.7
"8526000bfffffff",2015,174.2
"8526000bfffffff",2016,149.2
"8526000bfffffff",2017,155.8
"8526000bfffffff",2018,166.7
"8526000bfffffff",2019,155.5
"8526000bfffffff",2020,180.5
"8526000bfffffff",2021,124.7
"8526000bfffffff",2022,67.9
"8526000bfffffff",2023,172.8
"8526000bfffffff",2024,160.5
"8526000ffffffff",2010,144.1
"8526000ffffffff",2011,138.4
"8526000ffffffff",2012,20.9
"8526000ffffffff",2013,162.7
"8526000ffffffff",2014,167.7
"8526000ffffffff",2015,174.2
"8526000ffffffff",2016,149.2
"8526000ffffffff",2017,155.8
"8526000ffffffff",2018,166.7
"8526000ffffffff",2019,155.5
"8526000ffffffff",2020,180.5
"8526000ffffffff",2021,124.7
"8526000ffffffff",2022,67.9
"8526000ffffffff",2023,172.8
"8526000ffffffff",2024,160.5
"85260013fffffff",2010,143.3
"85260013fffffff",2011,151.5
"85260013fffffff",2012,66.5
"85260013fffffff",2013,168.7
"85260013fffffff",2014,168.3
"85260013fffffff",2015,185.7
"85260013fffffff",2016,174.3
"85260013fffffff",2017,186.1
"85260013fffffff",2018,187.3
"85260013fffffff",2019,141.9
"85260013fffffff",2020,177.1
"85260013fffffff",2021,132.8
"85260013fffffff",2022,120.5
"85260013fffffff",2023,153
"85260013fffffff",2024,179.6
"85260017fffffff",2010,140.2
"85260017fffffff",2011,142.4
"85260017fffffff",2012,48.8
"85260017fffffff",2013,168.3
"85260017fffffff",2014,173.3
"85260017fffffff",2015,183.6
"85260017fffffff",2016,171.3
"85260017fffffff",2017,181.5
"85260017fffffff",2018,168.2
"85260017fffffff",2019,170.5
"85260017fffffff",2020,175.1
"85260017fffffff",2021,142.8
"85260017fffffff",2022,90.3
"85260017fffffff",2023,158.3
"85260017fffffff",2024,171.2
"8526001bfffffff",2010,143.3
"8526001bfffffff",2011,151.5
"8526001bfffffff",2012,66.5
"8526001bfffffff",2013,168.7
"8526001bfffffff",2014,168.3
"8526001bfffffff",2015,185.7
"8526001bfffffff",2016,174.3
"8526001bfffffff",2017,186.1
"8526001bfffffff",2018,187.3
"8526001bfffffff",2019,141.9
"8526001bfffffff",2020,177.1
"8526001bfffffff",2021,132.8
"8526001bfffffff",2022,120.5
"8526001bfffffff",2023,153
"8526001bfffffff",2024,179.6
"85260023fffffff",2010,143.6
"85260023fffffff",2011,122.7
"85260023fffffff",2012,58.6
"85260023fffffff",2013,166.7
"85260023fffffff",2014,177
"85260023fffffff",2015,196.3
"85260023fffffff",2016,183.7
"85260023fffffff",2017,182.2
"85260023fffffff",2018,162.5
"85260023fffffff",2019,186.1
"85260023fffffff",2020,182.2
"85260023fffffff",2021,148.6
"85260023fffffff",2022,97.6
"85260023fffffff",2023,180.4
"85260023fffffff",2024,162.2
"85260027fffffff",2010,143.6
"85260027fffffff",2011,122.7
"85260027fffffff",2012,58.6
"85260027fffffff",2013,166.7
"85260027fffffff",2014,177
"85260027fffffff",2015,196.3
"85260027fffffff",2016,183.7
"85260027fffffff",2017,182.2
"85260027fffffff",2018,162.5
"85260027fffffff",2019,186.1
"85260027fffffff",2020,182.2
"85260027fffffff",2021,148.6
"85260027fffffff",2022,97.6
"85260027fffffff",2023,180.4
"85260027fffffff",2024,162.2
"8526002bfffffff",2010,147.7
"8526002bfffffff",2011,138.3
"8526002bfffffff",2012,23.4
"8526002bfffffff",2013,165
"8526002bfffffff",2014,180.7
"8526002bfffffff",2015,178.4
"8526002bfffffff",2016,161.1
"8526002bfffffff",2017,162.1
"8526002bfffffff",2018,165
"8526002bfffffff",2019,175.2
"8526002bfffffff",2020,163
"8526002bfffffff",2021,102.1
"8526002bfffffff",2022,62.6
"8526002bfffffff",2023,169.1
"8526002bfffffff",2024,170.3
"8526002ffffffff",2010,143.6
"8526002ffffffff",2011,122.7
"8526002ffffffff",2012,58.6
"8526002ffffffff",2013,166.7
"8526002ffffffff",2014,177
"8526002ffffffff",2015,196.3
"8526002ffffffff",2016,183.7
"8526002ffffffff",2017,182.2
"8526002ffffffff",2018,162.5
"8526002ffffffff",2019,186.1
"8526002ffffffff",2020,182.2
"8526002ffffffff",2021,148.6
"8526002ffffffff",2022,97.6
"8526002ffffffff",2023,180.4
"8526002ffffffff",2024,162.2
"85260033fffffff",2010,140.2
"85260033fffffff",2011,142.4
"85260033fffffff",2012,48.8
"85260033fffffff",2013,168.3
"85260033fffffff",2014,173.3
"85260033fffffff",2015,183.6
"85260033fffffff",2016,171.3
"85260033fffffff",2017,181.5
"85260033fffffff",2018,168.2
"85260033fffffff",2019,170.5
"85260033fffffff",2020,175.1
"85260033fffffff",2021,142.8
"85260033fffffff",2022,90.3
"85260033fffffff",2023,158.3
"85260033fffffff",2024,171.2
"85260037fffffff",2010,153.2
"85260037fffffff",2011,143.7
"85260037fffffff",2012,62.8
"85260037fffffff",2013,170.7
"85260037fffffff",2014,166.9
"85260037fffffff",2015,192.6
"85260037fffffff",2016,183.7
"85260037fffffff",2017,186.4
"85260037fffffff",2018,170.1
"85260037fffffff",2019,169.3
"85260037fffffff",2020,169.6
"85260037fffffff",2021,182
"85260037fffffff",2022,129.3
"85260037fffffff",2023,152.5
"85260037fffffff",2024,172.7
"8526003bfffffff",2010,140.2
"8526003bfffffff",2011,142.4
"8526003bfffffff",2012,48.8
"8526003bfffffff",2013,168.3
"8526003bfffffff",2014,173.3
"8526003bfffffff",2015,183.6
"8526003bfffffff",2016,171.3
"8526003bfffffff",2017,181.5
"8526003bfffffff",2018,168.2
"8526003bfffffff",2019,170.5
"8526003bfffffff",2020,175.1
"8526003bfffffff",2021,142.8
"8526003bfffffff",2022,90.3
"8526003bfffffff",2023,158.3
"8526003bfffffff",2024,171.2
"85260043fffffff",2010,144.1
"85260043fffffff",2011,138.4
"85260043fffffff",2012,20.9
"85260043fffffff",2013,162.7
"85260043fffffff",2014,167.7
"85260043fffffff",2015,174.2
"85260043fffffff",2016,149.2
"85260043fffffff",2017,155.8
"85260043fffffff",2018,166.7
"85260043fffffff",2019,155.5
"85260043fffffff",2020,180.5
"85260043fffffff",2021,124.7
"85260043fffffff",2022,67.9
"85260043fffffff",2023,172.8
"85260043fffffff",2024,160.5
"85260047fffffff",2010,144.1
"85260047fffffff",2011,138.4
"85260047fffffff",2012,20.9
"85260047fffffff",2013,162.7
"85260047fffffff",2014,167.7
"85260047fffffff",2015,174.2
"85260047fffffff",2016,149.2
"85260047fffffff",2017,155.8
"85260047fffffff",2018,166.7
"85260047fffffff",2019,155.5
"85260047fffffff",2020,180.5
"85260047fffffff",2021,124.7
"85260047fffffff",2022,67.9
"85260047fffffff",2023,172.8
"85260047fffffff",2024,160.5
"8526004bfffffff",2010,140
"8526004bfffffff",2011,131.9
"8526004bfffffff",2012,30.9
"8526004bfffffff",2013,156.3
"8526004bfffffff",2014,104.9
"8526004bfffffff",2015,162.6
"8526004bfffffff",2016,131.6
"8526004bfffffff",2017,125.8
"8526004bfffffff",2018,187.9
"8526004bfffffff",2019,150.3
"8526004bfffffff",2020,186.9
"8526004bfffffff",2021,136.1
"8526004bfffffff",2022,110.3
"8526004bfffffff",2023,157.1
"8526004bfffffff",2024,156.4
"8526004ffffffff",2010,144.1
"8526004ffffffff",2011,138.4
"8526004ffffffff",2012,20.9
"8526004ffffffff",2013,162.7
"8526004ffffffff",2014,167.7
"8526004ffffffff",2015,174.2
"8526004ffffffff",2016,149.2
"8526004ffffffff",2017,155.8
"8526004ffffffff",2018,166.7
"8526004ffffffff",2019,155.5
"8526004ffffffff",2020,180.5
"8526004ffffffff",2021,124.7
"8526004ffffffff",2022,67.9
"8526004ffffffff",2023,172.8
"8526004ffffffff",2024,160.5
"85260053fffffff",2010,136.7
"85260053fffffff",2011,136.6
"85260053fffffff",2012,62.4
"85260053fffffff",2013,161.7
"85260053fffffff",2014,157.4
"85260053fffffff",2015,173.6
"85260053fffffff",2016,146.4
"85260053fffffff",2017,163.6
"85260053fffffff",2018,182.2
"85260053fffffff",2019,132.1
"85260053fffffff",2020,177.4
"85260053fffffff",2021,148.7
"85260053fffffff",2022,112.7
"85260053fffffff",2023,178.3
"85260053fffffff",2024,168.4
"85260057fffffff",2010,144.1
"85260057fffffff",2011,138.4
"85260057fffffff",2012,20.9
"85260057fffffff",2013,162.7
"85260057fffffff",2014,167.7
"85260057fffffff",2015,174.2
"85260057fffffff",2016,149.2
"85260057fffffff",2017,155.8
"85260057fffffff",2018,166.7
"85260057fffffff",2019,155.5
"85260057fffffff",2020,180.5
"85260057fffffff",2021,124.7
"85260057fffffff",2022,67.9
"85260057fffffff",2023,172.8
"85260057fffffff",2024,160.5
"8526005bfffffff",2010,135.1
"8526005bfffffff",2011,119.4
"8526005bfffffff",2012,49.6
"8526005bfffffff",2013,154.4
"8526005bfffffff",2014,149.8
"8526005bfffffff",2015,144.8
"8526005bfffffff",2016,122.4
"8526005bfffffff",2017,140.9
"8526005bfffffff",2018,187.8
"8526005bfffffff",2019,147
"8526005bfffffff",2020,172.8
"8526005bfffffff",2021,125.6
"8526005bfffffff",2022,106.2
"8526005bfffffff",2023,165.3
"8526005bfffffff",2024,164.9
"85260063fffffff",2010,139.7
"85260063fffffff",2011,129.2
"85260063fffffff",2012,12.7
"85260063fffffff",2013,160.2
"85260063fffffff",2014,170.4
"85260063fffffff",2015,170.4
"85260063fffffff",2016,139.5
"85260063fffffff",2017,140.7
"85260063fffffff",2018,158.2
"85260063fffffff",2019,156.4
"85260063fffffff",2020,182
"85260063fffffff",2021,119.5
"85260063fffffff",2022,56.6
"85260063fffffff",2023,160.6
"85260063fffffff",2024,163.5
"85260067fffffff",2010,147.7
"85260067fffffff",2011,138.3
"85260067fffffff",2012,23.4
"85260067fffffff",2013,165
"85260067fffffff",2014,180.7
"85260067fffffff",2015,178.4
"85260067fffffff",2016,161.1
"85260067fffffff",2017,162.1
"85260067fffffff",2018,165
"85260067fffffff",2019,175.2
"85260067fffffff",2020,163
"85260067fffffff",2021,102.1
"85260067fffffff",2022,62.6
"85260067fffffff",2023,169.1
"85260067fffffff",2024,170.3
"8526006bfffffff",2010,139.7
"8526006bfffffff",2011,129.2
"8526006bfffffff",2012,12.7
"8526006bfffffff",2013,160.2
"8526006bfffffff",2014,170.4
"8526006bfffffff",2015,170.4
"8526006bfffffff",2016,139.5
"8526006bfffffff",2017,140.7
"8526006bfffffff",2018,158.2
"8526006bfffffff",2019,156.4
"8526006bfffffff",2020,182
"8526006bfffffff",2021,119.5
"8526006bfffffff",2022,56.6
"8526006bfffffff",2023,160.6
"8526006bfffffff",2024,163.5
"8526006ffffffff",2010,139.7
"8526006ffffffff",2011,129.2
"8526006ffffffff",2012,12.7
"8526006ffffffff",2013,160.2
"8526006ffffffff",2014,170.4
"8526006ffffffff",2015,170.4
"8526006ffffffff",2016,139.5
"8526006ffffffff",2017,140.7
"8526006ffffffff",2018,158.2
"8526006ffffffff",2019,156.4
"8526006ffffffff",2020,182
"8526006ffffffff",2021,119.5
"8526006ffffffff",2022,56.6
"8526006ffffffff",2023,160.6
"8526006ffffffff",2024,163.5
"85260073fffffff",2010,144.1
"85260073fffffff",2011,138.4
"85260073fffffff",2012,20.9
"85260073fffffff",2013,162.7
"85260073fffffff",2014,167.7
"85260073fffffff",2015,174.2
"85260073fffffff",2016,149.2
"85260073fffffff",2017,155.8
"85260073fffffff",2018,166.7
"85260073fffffff",2019,155.5
"85260073fffffff",2020,180.5
"85260073fffffff",2021,124.7
"85260073fffffff",2022,67.9
"85260073fffffff",2023,172.8
"85260073fffffff",2024,160.5
"85260077fffffff",2010,147.7
"85260077fffffff",2011,138.3
"85260077fffffff",2012,23.4
"85260077fffffff",2013,165
"85260077fffffff",2014,180.7
"85260077fffffff",2015,178.4
"85260077fffffff",2016,161.1
"85260077fffffff",2017,162.1
"85260077fffffff",2018,165
"85260077fffffff",2019,175.2
"85260077fffffff",2020,163
"85260077fffffff",2021,102.1
"85260077fffffff",2022,62.6
